id_x,host_id,host_response_rate,host_is_superhost,host_listings_count,accommodates,bathrooms,bedrooms,beds,price,avg_rating,number_of_reviews,neighbourhood_cleansed_freq,property_type_freq
3191,3754,1.0,0,1,2.0,1.0,1.0,1.0,635,4.838571428571428,6241,0.022153705606943016,0.1747173689619733
15007,59072,1.0,1,9,6.0,3.0,3.0,4.0,3102,4.901428571428572,2116,0.04430741121388603,0.1747173689619733
15077,59342,1.0,1,7,2.0,1.5,1.0,2.0,1070,4.878571428571428,49,0.012789768185451638,0.012218796391458262
15480,60443,0.8,0,2,2.0,1.0,1.0,1.0,690,4.532857142857143,529,0.2551101975562407,0.4502683567431769
15704,61441,1.0,0,7,12.0,6.5,6.0,6.0,25714,5.0,4,0.17643028434395341,0.03916866506794564
16259,63255,1.0,1,3,2.0,1.0,1.0,1.0,1165,4.972857142857143,256,0.023638232271325797,0.02135434509535229
19271,73439,1.0,1,5,2.0,1.0,1.0,1.0,640,4.964285714285714,16641,0.023638232271325797,0.060180427086901904
20263,837661,1.0,1,2,6.0,3.0,3.0,3.0,5500,4.928571428571429,4,0.0509306840242092,0.03916866506794564
22994,89107,1.0,0,1,6.0,3.0,3.0,5.0,1453,4.942857142857143,289,0.015873015873015872,0.1747173689619733
36347,156196,1.0,0,4,2.0,1.0,0.0,2.0,1071,4.828571428571428,78961,0.2551101975562407,0.012332990750256937
36483,156910,1.0,0,7,2.0,1.0,1.0,3.0,950,4.651428571428572,1296,0.01815690304898938,0.04670549274865821
36485,156910,1.0,0,7,2.0,1.0,1.0,2.0,950,4.887142857142857,625,0.01815690304898938,0.010962658444672833
36499,156910,1.0,0,7,2.0,1.0,1.0,2.0,950,4.720000000000001,900,0.01815690304898938,0.4502683567431769
122455,613674,0.63,0,2,7.0,2.5,4.0,5.0,5900,4.852857142857142,729,0.2551101975562407,0.1747173689619733
123012,615652,1.0,0,5,2.0,1.0,0.0,2.0,3000,4.851428571428571,1089,0.07068630809638003,0.0021696928171748317
133339,654987,1.0,0,3,2.0,1.0,1.0,1.0,1350,4.858571428571429,10404,0.07068630809638003,0.0007993605115907274
218269,255784,1.0,1,11,2.0,1.0,1.0,1.0,599,4.89,12100,0.2551101975562407,0.4502683567431769
275876,1441807,0.0,0,1,7.0,1.0,2.0,3.0,1265,4.75,21025,0.07068630809638003,0.1747173689619733
282586,1384294,1.0,1,3,3.0,1.0,0.0,1.0,2627,4.807142857142858,2500,0.17643028434395341,0.012332990750256937
282606,77323658,1.0,1,4,1.0,1.0,1.0,1.0,292,4.837142857142857,2500,0.023638232271325797,0.012218796391458262
286894,1492767,1.0,1,2,3.0,1.0,1.0,1.0,829,4.911428571428572,2025,0.17643028434395341,0.4502683567431769
291205,1512563,1.0,0,1,3.0,1.0,1.0,2.0,907,4.8742857142857146,484,0.011076852803471508,0.4502683567431769
298622,1539169,1.0,1,1,4.0,1.0,1.0,3.0,1500,4.931428571428571,5041,0.05401393171177344,0.4502683567431769
370531,1867661,1.0,1,2,3.0,1.0,2.0,2.0,1100,4.908571428571428,529,0.022153705606943016,0.1747173689619733
400107,1997313,1.0,1,6,8.0,5.5,5.0,6.0,6400,4.9471428571428575,3025,0.17643028434395341,0.03916866506794564
428550,2130446,1.0,0,3,8.0,4.0,4.0,4.0,3000,4.8585714285714285,9,0.05401393171177344,0.1747173689619733
471729,2339584,0.86,1,2,4.0,1.0,1.0,1.0,1089,4.647142857142858,4624,0.05401393171177344,0.01986981843096951
473856,2349400,1.0,1,4,2.0,1.0,1.0,2.0,1537,4.875714285714286,33489,0.2551101975562407,0.4502683567431769
474596,2352753,0.0,0,1,10.0,5.5,5.0,5.0,8000,4.952857142857143,9,0.015873015873015872,0.1747173689619733
487252,914135,1.0,1,3,2.0,1.0,1.0,1.0,1475,4.6971428571428575,1521,0.2551101975562407,0.023638232271325797
511414,2516345,1.0,0,80,2.0,1.0,1.0,1.0,2087,3.607142857142857,16,0.2551101975562407,0.4502683567431769
518837,2552971,1.0,1,2,2.0,1.0,1.0,1.0,850,4.927142857142857,4225,0.05401393171177344,0.4502683567431769
543206,2670647,1.0,0,2,3.0,1.0,0.0,4.0,1100,4.857142857142857,9,0.02283887175973507,0.02135434509535229
606963,3007248,1.0,1,21,2.0,1.0,1.0,2.0,1300,4.852857142857141,10404,0.0509306840242092,0.005938106657531118
611956,3035834,1.0,1,5,3.0,2.0,2.0,3.0,1600,4.941428571428572,16900,0.17643028434395341,0.1747173689619733
617238,1852795,1.0,0,3,2.0,1.0,1.0,2.0,960,4.884285714285714,2209,0.2551101975562407,0.4502683567431769
650049,2824970,1.0,1,1,2.0,1.0,1.0,1.0,1132,4.911428571428571,72900,0.2551101975562407,0.012332990750256937
653488,3006485,1.0,0,2,2.0,1.0,1.0,3.0,1100,4.569999999999999,289,0.2551101975562407,0.0020554984583761563
659419,3326652,1.0,1,12,8.0,3.5,3.0,6.0,1751,4.862857142857143,3600,0.012789768185451638,0.023638232271325797
660090,3326652,1.0,1,12,5.0,2.0,2.0,5.0,1167,4.555714285714286,100,0.012789768185451638,0.023638232271325797
660099,3326652,1.0,1,12,2.0,1.0,1.0,1.0,564,4.704285714285715,169,0.012789768185451638,0.023638232271325797
667072,3374257,1.0,1,2,2.0,2.0,2.0,2.0,1200,4.90142857142857,1849,0.04464999429028206,0.4502683567431769
668544,3384207,1.0,1,1,4.0,1.5,2.0,3.0,2500,4.93,2025,0.04464999429028206,0.4502683567431769
669623,2758015,0.25,0,1,6.0,2.5,3.0,3.0,2950,3.857142857142857,121,0.0038826081991549617,0.1747173689619733
672103,3408518,1.0,0,1,6.0,2.0,3.0,4.0,6500,4.921428571428572,81,0.011076852803471508,0.03916866506794564
697880,3576139,1.0,1,3,2.0,1.0,1.0,1.0,850,4.857142857142857,42025,0.022153705606943016,0.02135434509535229
708351,3642757,0.9,1,2,6.0,2.0,3.0,3.0,1500,4.884285714285714,19321,0.0509306840242092,0.1747173689619733
731764,3809204,1.0,1,6,3.0,2.0,2.0,2.0,2300,4.88,289,0.17643028434395341,0.4502683567431769
731882,3809204,1.0,1,6,2.0,1.0,1.0,1.0,1186,4.91857142857143,961,0.2551101975562407,0.062464314262875416
732339,3812467,1.0,1,3,3.0,1.0,2.0,2.0,780,4.8999999999999995,3364,0.006280689733927144,0.4502683567431769
732409,3812467,1.0,1,3,4.0,1.0,2.0,2.0,760,4.902857142857144,2809,0.006280689733927144,0.4502683567431769
736534,3007248,1.0,1,21,2.0,1.0,1.0,1.0,1300,4.8999999999999995,9216,0.0509306840242092,0.005938106657531118
743795,3897359,1.0,0,1,2.0,1.0,1.0,1.0,908,5.0,16,0.022153705606943016,0.011305241521068859
768582,4054512,0.5,0,1,2.0,1.0,1.0,1.0,950,4.76,144,0.17643028434395341,0.4502683567431769
771176,4065747,1.0,1,1,2.0,1.0,1.0,2.0,827,4.92,75625,0.07068630809638003,0.4502683567431769
778089,2130446,1.0,0,3,8.0,4.0,4.0,4.0,3000,4.881428571428572,324,0.05401393171177344,0.1747173689619733
782166,2604213,1.0,1,4,2.0,1.0,1.0,2.0,700,4.865714285714286,961,0.2551101975562407,0.060180427086901904
782208,2604213,1.0,1,4,8.0,4.0,4.0,6.0,5200,4.909999999999999,34969,0.2551101975562407,0.1747173689619733
795614,4173981,1.0,0,1,7.0,3.5,4.0,4.0,5837,4.83,361,0.07068630809638003,0.1747173689619733
800546,4214801,1.0,1,11,8.0,4.0,4.0,5.0,7000,4.904285714285714,9409,0.17643028434395341,0.4502683567431769
800623,4214801,1.0,1,11,4.0,2.0,2.0,3.0,6143,4.911428571428572,11664,0.17643028434395341,0.4502683567431769
801981,4221634,0.88,0,3,4.0,2.0,2.0,3.0,4500,4.922857142857143,625,0.04464999429028206,0.1747173689619733
810042,4260566,1.0,1,3,4.0,1.5,2.0,3.0,1600,4.972857142857143,1764,0.0509306840242092,0.01986981843096951
811611,4267926,1.0,1,1,2.0,1.0,1.0,2.0,1136,4.9,88804,0.07068630809638003,0.060180427086901904
812750,3576139,1.0,1,3,2.0,1.0,1.0,1.0,600,4.845714285714286,7921,0.022153705606943016,0.04670549274865821
842387,4397998,1.0,1,17,2.0,1.5,1.0,1.0,584,4.644285714285714,8100,0.07068630809638003,0.04670549274865821
855361,4468950,1.0,0,3,4.0,2.0,2.0,2.0,3000,4.905714285714287,529,0.04464999429028206,0.060180427086901904
861257,4397998,1.0,1,17,2.0,0.5,1.0,1.0,389,4.668571428571428,2601,0.07068630809638003,0.04670549274865821
875916,4625439,1.0,1,4,2.0,1.0,2.0,1.0,1575,4.525714285714286,169,0.04464999429028206,0.4502683567431769
879450,692331,0.0,0,2,2.0,1.0,1.0,1.0,1362,4.851428571428571,5776,0.015873015873015872,0.4502683567431769
893053,4749338,1.0,0,2,2.0,1.0,1.0,1.0,930,4.764285714285714,1521,0.2551101975562407,0.4502683567431769
897063,3007944,1.0,1,4,2.0,1.0,1.0,1.0,670,4.812857142857142,19600,0.2551101975562407,0.4502683567431769
900141,4806391,1.0,1,1,4.0,1.0,2.0,2.0,1167,4.954285714285715,961,0.023295649194929772,0.01986981843096951
900802,4812503,1.0,0,4,2.0,1.0,1.0,1.0,650,4.9314285714285715,289,0.015873015873015872,0.012218796391458262
906093,2469634,1.0,1,2,2.0,1.0,1.0,1.0,890,4.882857142857143,6724,0.2551101975562407,0.4502683567431769
911211,615652,1.0,0,5,2.0,1.0,1.0,0.0,4200,4.7542857142857144,441,0.2551101975562407,0.012332990750256937
930318,5011034,0.67,0,9,4.0,2.5,2.0,2.0,8200,4.704285714285715,100,0.17643028434395341,0.023638232271325797
930469,5011034,0.67,0,9,10.0,5.5,5.0,5.0,12000,4.872857142857143,144,0.17643028434395341,0.023638232271325797
930476,5011034,0.67,0,9,14.0,7.5,7.0,7.0,14500,4.8100000000000005,225,0.17643028434395341,0.023638232271325797
930482,5011034,0.67,0,9,8.0,4.5,4.0,4.0,9500,4.964285714285714,16,0.17643028434395341,0.023638232271325797
930488,5011034,0.67,0,9,14.0,7.5,7.0,7.0,9000,4.7942857142857145,49,0.17643028434395341,0.1747173689619733
991674,333963000,1.0,0,2,5.0,1.0,3.0,5.0,1700,4.771428571428571,25,0.0509306840242092,0.1747173689619733
1002060,5510268,0.86,0,9,6.0,2.0,3.0,5.0,1565,4.461428571428572,289,0.05401393171177344,0.1747173689619733
1012627,5509428,1.0,0,22,2.0,1.0,1.0,1.0,990,4.248571428571428,225,0.2551101975562407,0.012332990750256937
1013146,77323658,1.0,1,4,2.0,1.0,1.0,1.0,380,4.907142857142858,529,0.023638232271325797,0.04670549274865821
1040292,5509428,1.0,0,22,2.0,1.0,1.0,1.0,1100,3.954285714285714,9,0.2551101975562407,0.4502683567431769
1040329,5509428,1.0,0,22,4.0,2.0,1.0,3.0,1380,4.614285714285714,100,0.2551101975562407,0.4502683567431769
